schoolId,name,level,schoolinfo,kess,ice,kessMinusIce,status,causeStatus,ordinary,special,itinerant,kessCell,iceCell,evidenceFile
kedi:231021295,인천별빛초등학교,elem,1351,1351,1350,1,MATCH,unconfirmed,1333,18,0,학교별 주요통계!AN4187,초등학교!AH57,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231021308,인천석암초등학교,elem,876,876,875,1,MATCH,unconfirmed,844,32,0,학교별 주요통계!AN4191,초등학교!AH14,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231021380,인천신흥초등학교,elem,303,303,304,-1,MATCH,unconfirmed,288,15,0,학교별 주요통계!AN4198,초등학교!AH62,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231021452,인천용현남초등학교,elem,1116,1116,1117,-1,MATCH,unconfirmed,1093,23,0,학교별 주요통계!AN4207,초등학교!AH21,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231021460,인천운서초등학교,elem,392,392,393,-1,MATCH,unconfirmed,379,13,0,학교별 주요통계!AN4208,초등학교!AH68,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231021492,인천신광초등학교,elem,686,686,687,-1,MATCH,unconfirmed,662,24,0,학교별 주요통계!AN4213,초등학교!AH60,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231021558,인천학산초등학교,elem,822,822,823,-1,MATCH,unconfirmed,814,8,0,학교별 주요통계!AN4223,초등학교!AH27,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231031400,선화여자중학교,mid,429,429,428,1,MATCH,unconfirmed,418,11,0,학교별 주요통계!AN4239,중학교!Z10,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231031475,영종중학교,mid,902,902,904,-2,MATCH,unconfirmed,897,5,0,학교별 주요통계!AN4242,중학교!Z36,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231031520,용현여자중학교,mid,767,767,766,1,MATCH,unconfirmed,762,5,0,학교별 주요통계!AN4246,중학교!Z11,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-001.json
kedi:231031580,제물포여자중학교,mid,356,356,357,-1,MATCH,unconfirmed,338,18,0,학교별 주요통계!AN4248,중학교!Z16,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:231031594,화도진중학교,mid,337,337,336,1,MATCH,unconfirmed,310,27,0,학교별 주요통계!AN4249,중학교!Z21,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:231031885,인하대학교사범대학부속중학교,mid,708,708,707,1,MATCH,unconfirmed,708,0,0,학교별 주요통계!AN4257,중학교!Z18,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:232021166,인천구산초등학교,elem,262,262,263,-1,MATCH,unconfirmed,259,3,0,학교별 주요통계!AN4360,초등학교!AH79,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:232021188,인천동암초등학교,elem,299,299,297,2,MATCH,unconfirmed,292,7,0,학교별 주요통계!AN4362,초등학교!AH84,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:232021240,인천부곡초등학교,elem,831,831,829,2,MATCH,unconfirmed,821,10,0,학교별 주요통계!AN4369,초등학교!AH91,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:232021340,인천삼산초등학교,elem,472,472,474,-2,MATCH,unconfirmed,460,12,0,학교별 주요통계!AN4383,초등학교!AH105,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:232021436,인천신촌초등학교,elem,331,331,333,-2,MATCH,unconfirmed,321,10,0,학교별 주요통계!AN4387,초등학교!AH107,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:232021439,인천길주초등학교,elem,430,430,431,-1,MATCH,unconfirmed,420,10,0,학교별 주요통계!AN4390,초등학교!AH127,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:232021602,인천금마초등학교,elem,231,231,229,2,MATCH,unconfirmed,216,15,0,학교별 주요통계!AN4422,초등학교!AH81,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:232031017,구산중학교,mid,750,750,751,-1,MATCH,unconfirmed,746,4,0,학교별 주요통계!AN4424,중학교!Z49,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:232031292,부일중학교,mid,345,345,343,2,MATCH,unconfirmed,333,12,0,학교별 주요통계!AN4431,중학교!Z54,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:232031467,북인천여자중학교,mid,386,386,387,-1,MATCH,unconfirmed,381,5,0,학교별 주요통계!AN4444,중학교!Z75,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:232031478,작전중학교,mid,340,340,341,-1,MATCH,unconfirmed,328,12,0,학교별 주요통계!AN4455,중학교!Z85,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:232031549,삼산중학교,mid,912,912,911,1,MATCH,unconfirmed,905,7,0,학교별 주요통계!AN4457,중학교!Z64,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:233021133,인천장서초등학교,elem,1312,1312,1313,-1,MATCH,unconfirmed,1301,11,0,학교별 주요통계!AN4575,초등학교!AH183,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:233021198,인천능허대초등학교,elem,638,638,637,1,MATCH,unconfirmed,625,13,0,학교별 주요통계!AN4585,초등학교!AH192,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:233021205,인천담방초등학교,elem,309,309,308,1,MATCH,unconfirmed,304,5,0,학교별 주요통계!AN4586,초등학교!AH160,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:233021247,인천송원초등학교,elem,807,807,809,-2,MATCH,unconfirmed,793,14,0,학교별 주요통계!AN4590,초등학교!AH206,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:233021300,인천사리울초등학교,elem,476,476,478,-2,MATCH,unconfirmed,467,9,0,학교별 주요통계!AN4596,초등학교!AH167,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-002.json
kedi:233021303,인천원동초등학교,elem,753,753,754,-1,MATCH,unconfirmed,745,8,0,학교별 주요통계!AN4599,초등학교!AH178,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021325,인천문남초등학교,elem,446,446,443,3,MATCH,unconfirmed,441,5,0,학교별 주요통계!AN4601,초등학교!AH197,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021400,인천선학초등학교,elem,554,554,553,1,MATCH,unconfirmed,538,16,0,학교별 주요통계!AN4606,초등학교!AH201,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021423,인천약산초등학교,elem,550,550,551,-1,MATCH,unconfirmed,532,18,0,학교별 주요통계!AN4610,초등학교!AH177,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021445,인천연수초등학교,elem,243,243,244,-1,MATCH,unconfirmed,228,15,0,학교별 주요통계!AN4612,초등학교!AH212,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021460,인천연화초등학교,elem,584,584,581,3,MATCH,unconfirmed,574,10,0,학교별 주요통계!AN4613,초등학교!AH213,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021483,인천인동초등학교,elem,693,693,692,1,MATCH,unconfirmed,682,11,0,학교별 주요통계!AN4615,초등학교!AH180,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021550,인천중앙초등학교,elem,223,223,222,1,MATCH,unconfirmed,213,10,0,학교별 주요통계!AN4622,초등학교!AH217,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021589,인천고잔초등학교,elem,730,730,731,-1,MATCH,unconfirmed,724,6,0,학교별 주요통계!AN4625,초등학교!AH153,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021601,인천신송초등학교,elem,444,444,446,-2,MATCH,unconfirmed,436,8,0,학교별 주요통계!AN4627,초등학교!AH208,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021620,인천함박초등학교,elem,397,397,398,-1,MATCH,unconfirmed,379,18,0,학교별 주요통계!AN4628,초등학교!AH222,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021621,인천신월초등학교,elem,189,189,191,-2,MATCH,unconfirmed,178,11,0,학교별 주요통계!AN4629,초등학교!AH176,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021631,인천상아초등학교,elem,546,546,548,-2,MATCH,unconfirmed,540,6,0,학교별 주요통계!AN4638,초등학교!AH168,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021632,인천송명초등학교,elem,1070,1070,1066,4,MATCH,unconfirmed,1066,4,0,학교별 주요통계!AN4639,초등학교!AH204,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021633,인천미송초등학교,elem,1460,1460,1461,-1,MATCH,unconfirmed,1438,22,0,학교별 주요통계!AN4640,초등학교!AH198,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233021664,인천송담초등학교,elem,909,909,907,2,MATCH,unconfirmed,901,8,0,학교별 주요통계!AN4642,초등학교!AH202,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233031152,구월중학교,mid,998,998,999,-1,MATCH,unconfirmed,986,12,0,학교별 주요통계!AN4645,중학교!Z90,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233031282,만수중학교,mid,184,184,185,-1,MATCH,unconfirmed,176,8,0,학교별 주요통계!AN4652,중학교!Z97,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233031310,인천예송중학교,mid,1053,1053,1052,1,MATCH,unconfirmed,1046,7,0,학교별 주요통계!AN4656,중학교!Z124,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233031438,선학중학교,mid,369,369,370,-1,MATCH,unconfirmed,355,14,0,학교별 주요통계!AN4662,중학교!Z114,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-003.json
kedi:233031542,청량중학교,mid,905,905,908,-3,MATCH,unconfirmed,895,10,0,학교별 주요통계!AN4670,중학교!Z129,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:233031695,함박중학교,mid,203,203,202,1,MATCH,unconfirmed,191,12,0,학교별 주요통계!AN4673,중학교!Z131,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:233031698,신송중학교,mid,1268,1268,1266,2,MATCH,unconfirmed,1260,8,0,학교별 주요통계!AN4676,중학교!Z115,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:233031704,인천정각중학교,mid,779,779,780,-1,MATCH,unconfirmed,768,11,0,학교별 주요통계!AN4681,중학교!Z108,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234021026,인천단봉초등학교,elem,700,700,699,1,MATCH,unconfirmed,688,12,0,학교별 주요통계!AN4774,초등학교!AH264,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234021038,인천한별초등학교,elem,1561,1561,1559,2,MATCH,unconfirmed,1541,20,0,학교별 주요통계!AN4775,초등학교!AH279,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234021085,인천도담초등학교,elem,440,440,443,-3,MATCH,unconfirmed,428,12,0,학교별 주요통계!AN4777,초등학교!AH242,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234021107,인천해든초등학교,elem,1657,1657,1658,-1,MATCH,unconfirmed,1637,20,0,학교별 주요통계!AN4779,초등학교!AH280,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234021152,인천검단초등학교,elem,642,642,644,-2,MATCH,unconfirmed,622,20,0,학교별 주요통계!AN4786,초등학교!AH261,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234021167,인천금곡초등학교,elem,254,254,253,1,MATCH,unconfirmed,249,5,0,학교별 주요통계!AN4788,초등학교!AH262,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234021202,인천마전초등학교,elem,555,555,557,-2,MATCH,unconfirmed,540,15,0,학교별 주요통계!AN4790,초등학교!AH266,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234021560,인천발산초등학교,elem,464,464,465,-1,MATCH,unconfirmed,455,9,0,학교별 주요통계!AN4812,초등학교!AH268,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234021602,인천원당초등학교,elem,285,285,286,-1,MATCH,unconfirmed,277,8,0,학교별 주요통계!AN4818,초등학교!AH275,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234031084,인천청람중학교,mid,1004,1004,1003,1,MATCH,unconfirmed,1002,2,0,학교별 주요통계!AN4828,중학교!Z160,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234031274,인천이음중학교,mid,1381,1381,1380,1,MATCH,unconfirmed,1366,15,0,학교별 주요통계!AN4836,중학교!Z158,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234031585,원당중학교,mid,1118,1118,1119,-1,MATCH,unconfirmed,1110,8,0,학교별 주요통계!AN4850,중학교!Z148,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234031658,인천해원중학교,mid,1010,1010,1011,-1,MATCH,unconfirmed,1004,6,0,학교별 주요통계!AN4854,중학교!Z163,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:234031833,인천아라중학교,mid,1384,1384,1383,1,MATCH,unconfirmed,1373,11,0,학교별 주요통계!AN4856,중학교!Z157,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:236031472,서도중학교,mid,3,3,2,1,MATCH,unconfirmed,2,1,0,학교별 주요통계!AN4900,중학교!Z173,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:236031534,심도중학교,mid,21,21,20,1,MATCH,unconfirmed,20,1,0,학교별 주요통계!AN4901,중학교!Z171,docs\planning\incheon-v1\evidence\full-crosscheck-20260923\student-batch-004.json
kedi:233031495,인천은송중학교,mid,749,749,681,68,MATCH,unconfirmed,746,3,0,학교별 주요통계!AN4664,중학교!Z125,docs\planning\incheon-v1\evidence\schoolinfo-followup-20260923\schoolinfo-mcp-responses.json
kedi:231021543,인천하늘초등학교,elem,1353,1353,1338,15,MATCH,unconfirmed,1336,17,0,학교별 주요통계!AN4219,초등학교!AH71,docs\planning\incheon-v1\evidence\schoolinfo-followup-20260923\schoolinfo-mcp-responses.json
kedi:233021041,인천새봄초등학교,elem,486,486,492,-6,MATCH,unconfirmed,479,7,0,학교별 주요통계!AN4571,초등학교!AH199,docs\planning\incheon-v1\evidence\schoolinfo-followup-20260923\schoolinfo-mcp-responses.json
